Aircraft,Number_Objects,Engines,Origin State,Phase,Description,Object Size,Weather,Warning,Altitude,Total Cost
B-757,47,2,New Jersey,Climb,"(DATA ENTRY NOTE: STRIKE REPTD AS 3/25 AND 3/26) ESTIMATE 10-20 GEESE. DAMAGE TO RHS UPPER RADOME WHERE IT CONNECTS TO FUSELAGE, LHS INBD WING SECTION, RHS FUSELAGE, & RHS LDG LIGHT.   NOSE COWL DAMAGE. #1 ENG COWLING. REPAIR COSTS INCLUDE MATERIALS AND L",Large,No Cloud,Y,2500,11.74591637
BE,48,1,Minnesota,Descent,LOCATION = MSP070015.,Small,No Cloud,N,4000,6.045005314
B-737,45,2,Kentucky,Approach,"LIGHT GRAY/BROWN BIRD, PERHAPS TERNS. NO VISIBLE DMG TO ENG. STRONG FOUL SCENT IN AIR CONDITIONING LIKE BURNING SEWAGE. TIME OUT OF SERVICE 1/2 HR. ARPT BIO HAD NO INFORMATION ON THIS.",Small,Some Cloud,Y,10,5.80814249
Piaggio,60,2,New Jersey,Take-off run,"BOTH PROPS DMGD A BIRD STRUCK NOSE CONE WHICH CAUSED DMG TO THE RADAR AND AVIONICS BAY, ENG NACELLES WILL NEED REPAIR. MINOR DMG TO L WING.",Large,Overcast,N,0,11.61443457
CRJ,69,,Nebraska,Climb,"ID BY SMITHSONIAN, FAA 1709.  PHOTOS. DMG TO RT ENG FAN.",Large,Overcast,Y,800,8.926650321
PA,45,1,South Carolina,Take-off run,PILOT SAW 4-8 ANIMALS DURING T/O RUN. AND TRIED TO AVOID THEM BY PULLING BACK ON THE CONTROLS. THE A/C WAS IN A NOSE-HIGH ATTITUDE AND THE STALL WARNING HORN WAS SOUNDING AND THE AIRSPEED WAS DECREASING. HE REDUCED HIS BACK PRESSURE ON THE COLUMN. THE A/C,Large,No Cloud,N,0,12.47929315
CL,63,2,Utah,Descent,"D BY SMITHSONIAN, FAA 2904 A 99.7% DNA MATCH. THERE WERE 2 STRIKES ON THIS A/C. ONE AT THE NOSE WITH NO DMG AND 1 ON LE OF RT WING WITH DMG. THIS A/C WAS CLOSE BEHIND ANOTHER FLT THAT WAS HIT 3 MINUTES BEFORE.  THE ROBIN HIT THE NOSE. NO DMG. THE AMERICAN",Medium,No Cloud,N,10000,10.89884821
B-737,56,2,Colorado,Approach,DID NOT DISCOVER STRIKE UNTIL ON THE GROUND NO DMG. ESTIMATE GOOSE. 1/2 HOUR OUT OF SERVICE.,Medium,Overcast,Y,1000,5.783825182
BA,40,2,New Jersey,Landing Roll,TURKEY HIT LE OF RT WING. DENT WAS 12-14 IN. SEPARATED 6 RIVETS ON TOP OF WING.,Large,Overcast,Y,0,8.111928063
C,68,1,Georgia,Approach,"L WING FRONT EDGE, WING TIP, LENSE COVER BROKEN,DENTED.",Medium,No Cloud,N,600,10.21082518
B-737,45,2,Alaska,Approach,"TWO LEFT WING, ONE ON #1 ENG , TWO RT WNG. COST WAS FOR CONTACT MECHANIC INSPECTION. NO DMG. ONLY CLEAN UP.",Small,Overcast,N,500,7.820037989
BE,54,2,Texas,Approach,"AFTER BEING CLEARED TO LAND, PILOT SAW A BIRD ABOUT 30' OVER A/C. BIRD TUCKED AND DOVE AT A/C, SHATTERING RT WINDSCREEN. R/SIDE GLARESHIELD DAMAGED. RIGHT FRONT AND REAR PASSENGERS RECEIVED MINOR INJURIES. PILOT TRIED TO CALL TWR BUT RADIO WAS NOT WORKING",Large,No Cloud,N,150,10.18689801
DC,48,3,Tennessee,Approach,ID BY SMITHSONIAN. 3 LARGE DENTS ON RT SIDE OF NOSE. SPATTER ON LDG LIGHT ALONG WING FROM FUSELAGE TO THE #3 ENG. SPATTER ON LEADING EDGE OF HORIZONTAL STABILIZER AND 4 #1 ENG BLADES DAMAGED. DENTS ARE WITHIN LIMITS BUT FAN BLADES WERE REPLACED. STRIKE WA,Medium,No Cloud,Y,150,8.478868077
DC,146,3,California,Climb,"ID BY SMITHSONIAN. EMERGENCY WAS DELCARED AND A/C WAS DIVERTED TO OAK. #3 ENG WAS DAMAGED AND REMOVED. NOSE COWL, BOTH THRUST REVERSERS AND RADOME WERE DAMAGED. ESTIMATED COST OF REPLACEMENTS AND REPAIRS WAS $3,228,053. PHOTOS.",Large,Overcast,Y,2000,14.98738973
EMB,55,2,Oregon,Climb,BIRD INGESTED. ENG HAD TO BE CLEANED OUT BEFORE NEXT T/O.  HIT SEVERAL SML BIRDS.,Small,Some Cloud,Y,500,7.951559331
DC,126,3,California,Take-off run,"BIRD ID BY SMITHSONIAN FAA 449 & 465. (FIRST REPTD AS LRG SEAGULL).  ENG WAS SHUT DOWN AND A/C MADE AN EMERGENCY LDG.  13,000 LBS OF FUEL WAS DUMPED OVER THE OCEAN. NTSB AND FAA INVESTIGATION DUE TO SIGNIFICANT DMG. #3 ENG AND COWLING WERE REMOVED AND REP",Medium,Overcast,N,0,14.63658691
PA,57,1,Delaware,Approach,PILOT REPTD TO ARPT OPS THAT HE STRUCK A TURKEY VULTURE NEAR TOUCHDOWN ON RWY 9. A/C HAD AN INDENTATION ON WING ABUT 1 FT INBD OF TIP.,Large,No Cloud,N,10,6.423246964
C,37,1,Kentucky,Take-off run,"PLANE WAS UNABLE TO DEPLOY NOSE GEAR WHEN LANDING.  NOSE HIT THE RWY WITH MINOR DMG. BIRDSTRIKE HAD DAMAGED NOSE GEAR DOORS . AFTER LDG, NOSE GEAR DOORS WERE PRIED OPEN AND A/C TAXIED TO MX HANGAR. PILOT UNAWARE OF BIRDSTRIKE BUT FELT A BUMP WHILE TAKING",Large,Some Cloud,N,0,8.452121195
T,34,,Texas,Approach,"LT LICCARDO , J FLIGHT, 7177",Medium,No Cloud,Y,2800,10.59620964
MD,44,2,Wisconsin,Take-off run,"(DATA ENTRY NOTE: DMG COST REPTD AS $2,000, ASSUME IT BELONGED WITH OTHER COST SINCE NO DAMAGE WAS CHECKED. DID NOT RECEIVE REPLY FROM QUESTION SENT TO REPORTER)",Small,No Cloud,N,0,9.210340372
B-727,52,3,Ohio,Approach,BIRDSTRIKE SHORTLY AFTER EMERGING FROM CLOUDS AND IMC CONDITIONS. 1 CREW SAW BIRD JUST PRIOR TO IMPACT. COSTS FOR 1 HR INSPN.,Small,Overcast,N,1600,3.970291914
Citation,47,2,North Carolina,Descent,MINOR DMG TO RADOME. APPEARS MAINLY COSMETIC. IS BEING SENT FOR REPAIRS.,Small,No Cloud,N,7000,8.596189198
C,50,2,Connecticut,Climb,SMELL GAVE US THE INDICATION WE INGESTED A BIRD. NO DMG FOUND. EVIDENCE FOUND IN BYPASS OF ENG. ARFF RESPONDED. A/C TAXIED TO RAMP.,Small,Some Cloud,N,100,6.270988432
PA,26,2,Maryland,Landing Roll,"PROP DAMAGED, ENG TO BE TORN DOWN AND INSPECTED, GEAR DOOR DAMAGED AND DEPARTED A/C. (REPTD AS DEER, ASSUME WHITE-TAILED DEER FROM LOCATION)",Large,Overcast,N,0,10.29265389
B-737,56,2,Colorado,Landing Roll,ALLEGED BIRDSTRIKE ON TOUCHDOWN. BIRD SEEN AND FELT BUT NO EVIDENCE FOUND. A/C OUT OF SERCIVE 6 MINUTES.,Small,No Cloud,N,0,6.070737728
Gulfstream,33,2,Illinois,Climb,"REPT OF BIRDSTRIKE FROM ATCT ON RWY 20R, S TWY W. ARPT OPS CLEARED REMAINS FROM RWY AT 0730. PILOT FROM A/C TO ALSO DO STRIKE REPORT. ENGINE REQUIRED BLADE REPLACEMENT. CLOSE TO 20 BIRD STRIKES ON A/C.",Small,No Cloud,N,30,11.38509209
BE,47,1,Florida,Climb,"RT WING WAS DENTED BY LARGE BLACK BIRD. DENT WAS 4"" IN DIAMETER AND 1.5"" DEEP.",Large,No Cloud,N,3000,10.38804107
BE,61,2,Maine,Landing Roll,"1 DEER RAN OUT FROM TREELINE AS A/C TOUCHED DOWN. IT PASSED UNDER L PROP, HIT L MAIN GEAR DOOR AND STRUT AND BUNCED UP INTO L FLAP. PILOT WAS ABLE TO SAFELY CONTROLL THE ROLLOUT. TREES ARE VERY CLOSE TO RWY. DEER ARE A KNOWN PROBLEM. ANOTHER A/C HIT A DEE",Large,Overcast,N,0,9.599608345
PA,33,2,Texas,Climb,"RT ENG NACELLE DEPARTED A/C AND HIT RT HORIZ STABIL. PILOT DID NOT SEE BIRD BUT AFTER LDG, WITNESS CALLED ARPT AND REPTD SEEING A/C HIT BIRD. REPLACED MISSING COWLING AND HORIZ STABIL.",Medium,No Cloud,N,1000,10.06832379
B-747,60,4,New York,Landing Roll,"ID BY SMITHSONIAN, FAA 1334. CAPT SAW BIRD SITTING ON RWY AS A/C ROLLED OUT. THE BIRD ATTEMPTED TO FLY AS THE A/C PASSED IT. A THUMP WAS HEARD AND CAPT SHUT DOWN THE #2 ENG WHICH WAS OVERHEATING.  COMPRESSOR WAS REPLACED PHOTOS TAKEN. DMG ESTIMATED BTWN $",Large,Some Cloud,Y,0,12.58737483
C,29,2,Georgia,Climb,DENTED @ 2 ENG INLET RING. BIRD WAS MEDIUM SIZE WITH GRAY FEATHERS.,Medium,No Cloud,N,1000,9.314430081
DA,43,3,Louisiana,Approach,HIT A FLOCK OF PIGEONS WHILE FLARING FOR T/D. PILOT REPTD NO VIZ EXTERNAL DMG. DMG WAS FOUND TO RT ENG.,Small,Some Cloud,Y,10,12.28515181
DC,159,2,Utah,Take-off run,"ID BY WS BIOL AS JUVENILE FERRUGINOUS HAWK. HIT BIRD AT HIGH SPEED DURING T/O, ENG STALLED AND T/O WAS ABORTED. WE SHUT DOWN THE ENG AFTER EXITING RWY. TAXIED TO TERMIANL. APRT PERSONNEL COLLECTED WING REMAINS FOR ID. REPLACEMENT A/C FOUND. DELAY OF ABOUT",Medium,No Cloud,Y,0,15.05773996
C,54,1,Michigan,Climb,,Large,No Cloud,N,400,8.452121195
B-737,52,2,California,Approach,BIRDS SWARMED JUST AS WE APPROACHED UNDERRUN. ARPT PERSONNEL WERE  NOT NOTIFIED BY PILOT OR AIRLINE SO WERE NOT ABLE TO IDENTIFY ANY REMAINS OR TAKE A SNARGE SAMPLE.,Small,No Cloud,N,100,5.351858133
B-737,37,2,Texas,Approach,NO DMG OR INJURIES. VERY UNUSUAL EVENT ON FINAL AT KSAT. NO NOTES ON ATIS OF BIRDS BUT EVEN IF THERE WERE ADVISORIES IT WOULD NOT CHANGE THE OUTCOME AT NIGHT ON AN ILS APRCH WHEN BIRDS CAN NOT BE SEEN.,Medium,Overcast,N,1500,5.351858133
C,59,2,Oregon,Descent,"ID BY SMITHSONIAN, FAA 3800. DNA.  CHIPPING SPARROW. RT WING JUST OUTBD OF ENG INLET WAS STRUCK AND DAMAGED. SML DENT(6-8"") IN LEADING EDGE OF HEATED SURFACE WITH SOME PARTS BEHING THE LEADING EDGE SUFFERING DMG AS WELL. A/C HAD NO NOTICEABLE HANDLING CHA",Medium,No Cloud,N,7000,10.02853304
CL,39,2,Colorado,Landing Roll,,Small,Overcast,N,0,6.960347729
B-767,30,2,Kansas,Approach,ID BY SMITHSONIAN FAA 2955. SPECIES WAS EITHER MALLARD OR BLACK DUCK. DNA ANALYSIS UNABLE TO DISTINGUISH BTWN THESE TWO CLOSELY RELATED SPECIES. MALLARD MORE COMMON OCCURRENCE. AVG WT 1735G. HIT FUSELAGE IMMED ABOVE CO/P WINDSCREEN. COUPLE OF MINOR PAINT,Medium,No Cloud,N,525,5.087596335
CL,51,2,California,Approach,"DAMAGE TO LEADING EDGE OF WING. CONFIRMED ID. OUTBOUND FLT CANCELLED. SLAT WAS TEMPORARILY REPAIRED. PERMANENT REPAIR IS SCHEDULED. COSTS INCLUDE FERRY FLIGHT, LABOR, DOWNTIME, & REPAIRS.",Medium,Overcast,N,300,9.37585481
C,51,2,Ohio,Climb,NO DMG TO A/C. ENG BORESCOPED-NO DMG.,Small,No Cloud,N,10,8.032684876
Gulfstream,49,2,California,Approach,"IMPACT POINT ON DEICE BOOT ON TOP OF LEFT HORIZ STABILIZER. NO STRUCTURAL DMG. (DATA ENTRY NOTE: DATE NOT REPTD, ASSUME SAME AS DATE REPT WAS FILLED OUT. FLIGHTAWARE SHOW A/C LANDED ON 5/12/08 AND NOT 5/19)",Small,Some Cloud,N,500,7.392031568
BE,45,2,North Carolina,Descent,SAW LARGE WHITE FLASH AS BIRD STRUCK. HAWK? DMG TO NOSE AND TRIM AROUND WINDSHLD. COSTS ESTIMATED $6000-7000. LOCATION 20 MI SW OF AVL.,Large,Some Cloud,N,13400,8.885025658
EMB,36,2,Missouri,Take-off run,"APPEARS TO BE 3 STRIKE. 1 ABOVE RADOME, BY ICE DETECTOR AND MAIN GEAR. NO DMG. REPORT OF BIRD MATTER IN #1 ENG. ONLY COSTS WOULD HAVE BEEN LABOR FOR BIRDSTRIKE INSPN AND THE HIGH ENERGY STOP INSPN FOR ABORTED T/O. 18 MAN HRS SPENT.",Small,Some Cloud,Y,0,7.704361168
BE,49,2,Illinois,Approach,"ID BY SMITHSONIAN, FAA 3100. DMG TO LEFT INBD LEADING EDGE OF WING. REQUIRED REPLACEMENT OF LEFT INBD LE SECTION OF THE WING DUE TO DENT BEYOND LIMITS.",Medium,Overcast,N,2400,9.98091145
B-757,63,2,Missouri,Approach,BIRDSTRIKE ON SHORT FINAL. CABLE CAME OFF PULLEY ON LDG GEAR. PLANE MISSED 1 FLT. NO COSTS AVAILABLE FROM AIRLINE. RWY WAS CLOSED WHILE PLANE WAS TOWED. THIS HAWK HAD BEEN BANDED & RELEASED 100 MILES FROM AIRPORT 1 YR 7 MOS EARLIER. PHOTOS.,Medium,No Cloud,Y,150,7.349873705
B-737,53,2,California,Approach,"ID BY SMITHSONIAN, FAA 7037. DNA. IN LDG FLARE, BIRD WAS SEEN AND IMMEDIATELY HIT SIDE WINDSCREEN ON CAPT'S SIDE AS IT TRIED TO ESCAPE THE PATH. STRIKE WAS OVER WATER. SFO ARPT OPS CAME TO GATE & TOOK DNA SAMPLE FROM WINDOW.",Small,No Cloud,N,10,6.396929655
B-737,42,2,Florida,Approach,BIRDS REPTD AS GULLS ON 1 FORM AND GOOSE ON ANOTHER. DMG TO ENG INLET REQD IMMED. REPAIR. NO ENG IRREGULARITIES,Large,Overcast,N,1000,10.08801501
Airbus,91,2,DC,Approach,"WS ASSISTED IN CLEAN-UP OF 273 STARLINGS AND 1 BROWN-HEADED COWBIRD FROM RWY THRESHOLD. PHOTOS OF A/C TAKEN. BORESCOPED BOTH ENGS. FOUND DENTS AND NICKS IN STAGES 3-6. ALL WITHIN LIMITS. CLEANED RADOME, L WING, FLAPS, PYLON, GEAR AND LEADING EDGE FLAPS. R",Small,Some Cloud,Y,100,14.20967269
Fokker,78,2,Texas,Climb,"ID BY SMITHSONIAN, FAA 183 &189. DAMAGE TO RT WING LE, #2 ENG COMPRESSOR BLADES AND NOSE JUST BEHIND RADOME. REPLACED ENG DUE TO NUMEROUS COMPRESSOR AND FAN BLADES DMGD & INLET DMG. REPLACED FWD E & E DOOR.  RT ENG FAILED. AIRLINE & ARPT SENT REMAINS.  OT",Large,Some Cloud,Y,7000,13.62774139
MU,52,2,Kansas,Descent,"WHILE ON DESCENT TO LANDING, HIT 5-6 GEESE, 5 MILES S E OF THE FIELD. THE BIRDS DAMAGED THE LEADING EDGE OF BOTH WING, TOP OF WING, TAIL, HORIZONTAL STABILIZER AND RT TIP TANK.",Large,No Cloud,N,2000,11.21077929
Gulfaero,45,2,New Jersey,Take-off run,"NO INJURIES. SMASHED AND BROKEN NOSE GEAR TAXI LIGHTS, BENT NOSE GEAR DOOR, BROKEN CLAMP L MAIN LDG GEAR, ELECTRICAL HARNESS FOR LDG LIGHTS DESTROYED. RWY WAS CLOSED FROM 2032 TO 2120.",Large,No Cloud,N,0,11.72380208
Hawker,44,2,Colorado,Approach,"SAW SML FLOCK FLYING UPON LDG FLARE, ACROSS RWY. SMALL THUMP WAS  HEARD. FOUND REMAINS ON L NEG INTAKE NACELLE. IRD PARTS STREAKED  DOWN IN AND OUTSIDE OF ENG. ALSO ON MIDPOINT OF L FLAP. NO 2NDRY DMG.",Small,No Cloud,N,20,9.059517482
B-737,36,2,Oklahoma,Approach,HEARD IMPCT ON FRONT OF A/C DURING NIGHTTIME APRCH KOKC. NO DMG TO A/C. 12 INCH SMUDGE ON LOWER FRONT OF RADOME AND SOME REMAINS ON NOSE LANDING GEAR. NO OTHER ABNORMAL INDICATIONS OR UNUSUAL ODORS NOTED. LOCATION REPTD AS 15NM S KOKC.,Medium,No Cloud,N,2300,5.521460918
C,58,2,Illinois,Landing Roll,DMG TO BOTH PROPELLER ASSEMBLIES REQUIRING REPAIR & ENG TEARDOWN FOR INSPN.,Large,No Cloud,N,0,10.8058619
DA,48,3,New Jersey,Climb,"NOTICED BIRD SITTING ON CENTERLINE OF RWY. SINCE WE WERE PAST V1 WE WERE COMMITTED TO FLY. UPON BREAKING GROUND, BIRDS TOOK FLT. A/C AND BIRDS MET 10-20 FT ABOVE RWY. LOUD IMPACT ON LEFT SIDE OF A/C. NO ABNORMAL ENG INDICATIONS. HIT 3 GEESE ON DEPTR ROLL.",Large,No Cloud,Y,15,12.97829668
B-737,51,2,Connecticut,Approach,"INGESTED SML BIRD IN #1 ENG. REPTD BY GROUND CREW TO OPS. FOUND BY A/C MX. ENG WAS BORESCOPED. NO DMG FOUND. ESTIMATED COST WAS $8,000 - 9,000.",Small,Some Cloud,N,2000,9.047821442
BE,50,2,Wyoming,Climb,"DMG TO LE OF L WING. 12-15"" LONG, 4-5"" WIDE AND 4"" DEEP. HOLE IN LEADING EDGE. COST REPORTED INCLUDES OTHER COSTS BESIDES DAMAGE.",Large,No Cloud,N,40,10.46712382
RKWL,42,2,Maryland,Climb,DENTED 1 SPINNER. A/C WAS INSPECTED BY ON-BOARD MECHANIC.,Small,No Cloud,N,10,6.320768294
B-757,35,2,California,Approach,RAN THRU 2 FLOCKS OF BIRDS ON 2 MILE FINAL. 2 STRIKES. 1 ON L ENG OTHER ON NOSE STRUT. BROKE BOTH LIGHTS (LDG & TAXI). ONLY HEARD I IMPACT. RPL RT NLG LDG LIGHT FRAME & RETAINER. RPL OTH NLG LDG LTS. 4 FAN BLADES DAMGED AT TIPS & MID SPAN. MANY BLADES HAV,Medium,Overcast,Y,1000,9.368539987
Learjet,54,2,Illinois,Approach,THREE DEAD BIRDS FOUND ON RWY. ONE FOUND IN LANDING LIGHT IT HAD COME THRU THE LANDING LIGHT LENS.,Small,Some Cloud,N,5,7.339537695
C,53,1,Florida,Climb,BIRD HIT L WING NEAR STRUT. THERE WAS SIGNIFICANT DMG TO LEADING EDGE INCLUDING SKIN  DMG. OUT OF SERVICE A MONTH. PHOTOS.,Large,No Cloud,N,350,10.49587473
B-737,56,2,Arizona,Climb,FIRST INDICATION OF BIRDSTRIKE WAS A MED VOLUME THUMP ABOVE CAPT FRONT WINDSCREEN (WINDOW L-1). LOCATION REPTD AS MOBIE.,Small,No Cloud,Y,7000,5.703782475
B-767,63,2,California,Landing Roll,"ACCORDING TO AIRLINE MX, A LRG BIRD DAMAGED THE RADOME AND WING FLAP ON LDG. NO SAMPLES TURNED IN FOR ID.",Large,No Cloud,N,0,12.33786816
MD,52,2,Massachusetts,Approach,DMG FOUND ON RADOME.,Large,Some Cloud,Y,10,11.59131142
Airbus,43,2,Florida,Approach,,Small,Some Cloud,N,500,5.602118821
EMB,50,2,Illinois,Take-off run,NUMEROUS BIRDSTRIKES ON T/O. ABORTED T/O BTWN 90-100 KTS.  REMAINS OF 3 JUVENILE RB GULLS WERE RECOVERED BY OPS. A/C WAS TAKEN OUT OF SERVICE. A/C - EMB 140,Medium,Overcast,Y,0,9.982575959
AIA,34,2,Oregon,Approach,"PILOT REPTD FLOCK WENT OVER A/C EXCEPT FOR 1.  IT IHT BELOW NOSE. PILOT INITIATED ""GO AROUND"" CONCERNED ABOUT LDG GEAR DMG. FLY BY ATCT INDICATED NO DMG. HOWEVER, PILOT NOTED STRANGE ENG NOISE DURING POWER CHANGE. ENG SHUT DOWN UPON LDG. FOUND BIRD REMAIN",Large,Overcast,N,100,11.75016125
C,57,2,Oklahoma,Take-off run,"HIT #1 ENG ITT PROBE. DAMAGED MANY FAN BLADES. ENG REPLACED. OVERWT LDG INSPN. 3 WEEKS OUT OF SVC. (DATA ENTRY NOTE: BIRD REPTD AS DOVE, ASSUME MOURNING DOVE FROM WS BIOL INFO. NO CONFIRMATION ABOUT SPECIES, HOWEVER.)",Small,No Cloud,N,0,12.89748582
Dornier,41,2,Nevada,Approach,NO DMG,Small,No Cloud,N,400,8.596189198
CESSNA UNKN,40,,North Dakota,Descent,,Medium,Some Cloud,N,2200,6.188264123
B-737,45,2,Rhode Island,Approach,NO DMG. . LOCATION REPTD AS 5NM FINAL.,Small,No Cloud,N,1500,4.634728988
B-737,45,2,Alabama,Approach,NO DMG. TOUCHDOWN ZONE. TIME OUT OF SERVICE REPTD AS .20 HRS.,Small,No Cloud,N,50,5.323009979
B-737,40,2,California,Descent,HIT BIRD ON L SIDE BETWEEN CAPT'S REAR WINDOW. LRG SMUDGE FOUND IN THAT AREA AND ON UNDERSIDE OF WING BTWN ENG AND FUSELAGE. NO DMG. TIME OUT OF SERVICE 15MINS.,Large,No Cloud,N,8000,5.402677382
Citation,52,2,California,Approach,,Small,Overcast,Y,5,4.762173935
B-737,45,2,California,Climb,NO DMG. HIT BELOW F/O WINDOW.  PILOT REPTD HITTING BIRD AT 4000 FT MARKER TO TWR. NO REMAINS FOUND. TIME OUT OF SERVICE 12 MINUTES.,Small,No Cloud,Y,50,5.783825182
Learjet,55,2,Oregon,Take-off run,"NOTAM WARNING. RT WING OTBD VORTILON HAD SLIGHT DMG. TRAILING TIP OF VORTILON BENT. NO EFFECT ON FLT. RWY WAS LCOSED FOR 10 MINS AND 1 A/C HAD TO GO AROUND. BIRD REPTD BY PILOT AS BLUE HERON, ASSUME GREAT BLUE HERON. ARPT WILDL TECH ALSO REPTD GREAT BLUE",Large,Some Cloud,Y,0,6.891625897
B-747,54,4,Illinois,Take-off run,"ID BY SMITHSONIAN, FAA 2506. PILOT REPTD STRIKING LRG BIRD, PROB. A HAWK. #2 ENG WAS SHUT DOWN DUE TO VIBRATION. 165,000 LBS OF FUEL WAS DUMPED ($100,000). DECLARED AN EMERGENCY AND RETD TO ORD. AT LEAST 5 BLADES HAD SIGNIF DMG. A/C WAS REPLACED CAUSING A",Medium,Overcast,Y,0,11.59200463
B-737,40,2,Illinois,Approach,HIT LRG BIRD ON APCH IN LINE W/ RWY. DID NOT SEE THE BIRD. POST FLT INSPN FOUND DENT TO RT FWD FUSELAGE ABOVE COCKPIT. DMG WITHIN TOLERANCES FOR CONTD SVC. CONVERSATION WITH PILOT CONFIRMED MINOR DMG.,Medium,Some Cloud,N,4300,8.008698183
CL,41,2,Pennsylvania,Landing Roll,DEER WAS STRUCK WHEN A/C WAS TOUCHING DOWN. LEFT OUTBOARD TRAILING EDGE OF INBOARD FLAP. A/C WAS FERRIED TO ORF AT ABOUT 2 THE NEXT MORNING AND A SPARE FLAP WAS INSTALLED.  FLAP WAS DAMAGED. APPEARED TO BE A SMALL DEER. PHOTOS.,Large,Some Cloud,Y,0,9.15324078
B-737,48,2,Mississippi,Approach,,Small,No Cloud,N,2000,5.783825182
Learjet,88,2,Delaware,Climb,,Small,No Cloud,N,150,14.20870806
RKWL,48,1,California,Approach,"LARGE BLACK BIRD SWOOPED DOWN IN FRONT OF L WING AND STRUCK LE NEAR OUTER PORTION OF WING, BUCKLED AREA INWARD, SIGNIFICANT DMG TO OUTER 1/4 OF WING (BEFORE END CAP). BLACK BIRD, LARGE CROW OR SIMILAR. NO REMAINS FOUND.",Large,No Cloud,N,300,7.65349491
C,43,1,Michigan,Landing Roll,PILOT AND 2 PAX ON BOARD. MINOR DMG TO PROPELLER.,Large,No Cloud,N,0,6.021023349
MD,47,2,Missouri,Climb,"FLT 409. HEARD A LOUD BANG AND THOUGHT THE NOSE CONE WAS POSSIBLY GONE. RETD TO STL. LANDED W/O INCIDENT. NOSE CONE WAS INTACT BUT HAD BEEN PENETRATED BY A BIRD.  BIRD WENT THRU RADOME, RADAR AND METAL WALL WHERE RADAR IS MOUNTED. BIRD ID BY SMITHSONIAN (",Large,No Cloud,N,4500,10.28442087
DC,40,4,Ohio,Landing Roll,"HIT AT LEAST 3 BIRDS. BLOOD ON #1 ENG COWLING, L FLAP AND RT FRONT FUSELAGE. ARPT TYPICALLY HAS A FLOCK OF BIRDS BUT THEY ARE NOT REALLY CLOSE TOGETHER. EVERY TIME THE CREW HAS FLONW THAT PATTERN THERE ARE QUITE A FEW HERE. NO DMG. COST FOR 1 HR INSPN.",Small,No Cloud,N,0,3.970291914
C,62,1,Florida,Approach,LARGE DENT ON LEADING EDGE OF RT WING.,Large,No Cloud,N,1000,8.348537825
MD,40,2,Georgia,Climb,AT ROTATION A SML FLOCK OF PIGEONS FLEW ACROSS OUR NOSE. SAW 5-6 BIRDS. BOTH F/O AND I THOUGHT WE HEARD 2 LILGHT IMPACTS BUT FELT NOTHING. A/C CONTROLLABILITY & ENG PERFORMANCE NORMAL. I CONSULTED WITH FLT CONTROL AND MX CONTROL ONCE SAFELY AIRBORNE. RELA,Small,No Cloud,N,20,5.087596335
B-737,48,2,Indiana,Climb,FLT 2308. NO DMG. INSPN COST $500-1000.,Small,No Cloud,N,10,6.883462586
CL,44,2,Kentucky,Landing Roll,"ATIS WARNING. RADOME CRACKED, REPLACED.",Medium,Overcast,Y,0,8.047829357
B-757,51,2,California,Approach,DENT IN RADOME. REPLACED RADOME. CREW REPTD POSSIBLE BIRDSTRIKE ON APCH AT 1000 FT. EVIDENCE FOUND ON RADOME AND WINDSCREEN. PHOTO.,Medium,Some Cloud,N,1000,10.93310697
B-737,58,2,Virginia,Approach,NO DMG. BLOOD STAIN ON RADOME.,Small,No Cloud,N,300,5.783825182
Learjet,51,2,Colorado,Landing Roll,RADOME AND WING HAD NO DMG. ENG WAS BORESCOPED. NO DMG.,Small,No Cloud,N,0,6.345636361
DA,37,2,Michigan,Approach,ID BY SMITHSONIAN. FAA 4771. WHOLE FEATHER. TWO DENTS IN LT INBOARD SLAT.,Medium,No Cloud,N,5,11.34083143
BE,54,2,Ohio,Approach,PILOT SAW LARGE FLOCK RISE UP OUT OF GRASS. HE LIFTED TO AVOID BUT STRUCK 29 BIRDS 9RECVRD BY WILDLF BIOL). PILOT CIRCLED AND LANDED. A/C INSPECTED BY COMPANY MX. NO DMG REPTD EXCEPT COST TO CLEAN A/C.,Small,No Cloud,Y,100,5.323009979
C,41,1,Missouri,Landing Roll,A/C WAS SUBSTANTIALLY DAMAGED ON LDG AFTER COLLIDING WITH A DEER ON RWY. SAW 4 DEER RUN ACROSS RWY FROM WEST. PILOT TRIED TO AVOID THEM BY RAISING NOSE TO LET DEER GO UNDER. 1 HIT AND SHEARED OFF THE NOSE WHEEL CAUSING NOSE AND PROP TO HIT RWY. PILOT LOWE,Large,No Cloud,N,0,11.57754211
C,46,1,Wisconsin,Landing Roll,HORIZONTAL STABILIZER DAMAGE.,Large,Some Cloud,N,0,9.642187721
B-737,49,2,Texas,Landing Roll,BIRD APPEARED TO BE A SMALL SPARROW. A/C TIME OUT OF SERV = 0.5 HRS.,Small,Overcast,N,0,5.730099783
B-737,45,2,Texas,Approach,LINING UP ON 10 MILE FINAL AT 3000 FT MSL. HERD/FELT THUD AT OUR FEET. NEVER SAW BIRDS. POSTFLT INSPN DISCOVERED BLOOD SPLATTER BOTTOM RT SIDE NOSE JUST UNDER COCKPIT. NO APPARENT DMG NOTED. MX INSPN CONFIRMED NO DMG. BLOOD SMEAR ONLY EVID. TYPE OF BIRD U,Small,No Cloud,N,2200,5.730099783
